hello this is westside eye associates damien speaking may i have your name and date of birth  (spk1_1)
one moment while i search for your file  (spk1_2)
hello mrs walker i see your address as 19 granger place is that correct  (spk1_3)
how can i help you today mrs walker  (spk1_4)
you'd like to schedule an appointment with dr frahm for an annual eye check  (spk1_5)
is that the doctor directly lucy or your annual eye appointment  (spk1_6)
i see that you had your last and will i appointment in december of last year  (spk1_7)
are you currently covered by all star health insurance than drawings in head at your last appointment  (spk1_8)
with insurance when the hell do you want and where i appointment every 12 months so we would need to schedule you for december of this year for that eye exam  (spk1_9)
is this a routine appointment or are you having issues with your eyes  (spk1_10)
okay great then wheels schedule you for your annual appointment in december  (spk1_11)
dr from is in surgery on monday and wednesday and he sees  (spk1_12)
patients in the office on tuesday thursday and friday eatery  (spk1_13)
is there a particular day of the week or time that works best for you  (spk1_14)
i have december 8th at 8:30 or 10:30 am will either of these times work for you  (spk1_15)
i'll schedule you for 10:30 appointment  (spk1_16)
my record shows that you are currently wearing contact lenses and you have reading glasses for the computer what is that correct  (spk1_17)
okay you will need to wear your contact lenses and bring the reading glasses with you for the appointment  (spk1_18)
there will be a 40 copay dude that day for appointment  (spk1_19)
if you need to change his appointment any reason please contact us at least 24 hours in advance otherwise there will be a 75 cancellation fee baker you  (spk1_20)
will be sending you a set of our updated patient registration forms that will need to be completed and brought with you to your appointment or computer using your patient wellcare portal online  (spk1_21)
would you prefer we meet in the forms to you or would you like to complete the forms online to your cereal well care patient portal  (spk1_22)
yes i can send you out the instructions for setting up your well care patient portal if you have not your ex test your online account  (spk1_23)
what image would you like me to send those to  (spk1_24)
yes that is the email i have for you on file currently if you have any difficulty completing the forms do not hesitate to call our office at 3129673956 and one of our technicians will be happy to assist you  (spk1_25)
is there anything else i can help you with today mrs walker  (spk1_26)
thank you for calling westside eye associates  (spk1_27)
