hello this is westside eye associates darlene speaking they have your name and date of birth  (spk1_1)
one moment while i search for your file  (spk1_2)
this is walker i see your address is 19 granger place is that correct  (spk1_3)
how can i help you today mrs walker  (spk1_4)
you would like to schedule an appointment with doctor from for an annual eye check  (spk1_5)
is that the doctor you regularly see for your annual eye appointment  (spk1_6)
i see that you had your last annual eye appointment in december of last year  (spk1_7)
are you currently covered by all star health insurance the insurance you had at your last appointment  (spk1_8)
your insurance will allow you one annual eye appointment every 12 months so we would need to schedule you for december of this year for that eye exam  (spk1_9)
is this a routine appointment or are you having any issues with your eyes  (spk1_10)
okay great then we will schedule you for your annual appointment in december  (spk1_11)
dr fromm is in surgery on monday and wednesday and he sees  (spk1_12)
patients in the office on tuesday thursday and friday each week  (spk1_13)
is there a particular day of the week or time that works best for you  (spk1_14)
i have december 8th at 8:30 am or 10:30 am will either of these times work for you  (spk1_15)
great i will schedule you for the 10:30 appointment  (spk1_16)
our records show that you are currently wearing contact lenses and you have reading glasses for the computer work is that correct  (spk1_17)
okay you will need to wear your contact lenses and bring the reading glasses with you for the appointment  (spk1_18)
there will be a 40 copay do that day for this appointment  (spk1_19)
if you need to change this appointment for any reason please contact us at least 24 hours in advance otherwise there will be a 75 cancellation fee build to you  (spk1_20)
we will be sending you a set of our updated patient registration forms that will need to be completed and brought with you to your appointment or completed using your patient wellcare portal online  (spk1_21)
would you prefer we mail the forms to you or would you like to complete the forms online through your secure well care patient portal  (spk1_22)
yes i can send you all the instructions for setting up your well care patient portal if you have not accessed your online account  (spk1_23)
what email would you like me to send those to  (spk1_24)
yes that is the email i have for you on file currently if you have difficulty completing the forms do not hesitate to call her office at 3129673956 and one of our technicians will be happy to assist you  (spk1_25)
is there anything else i can help you with today mrs walker  (spk1_26)
thank you for calling westside eye associates  (spk1_27)
