good afternoon this is jean from global travel how may i assist you today  (spk1_1)
hello rebecca yes we specialize in cruise travel worldwide  (spk1_2)
yes we can assist you in planning a family reunion cruise for your extended family  (spk1_3)
how many people would be included in this family reunion vacation  (spk1_4)
yes i can help you book  a group cruise for 12 family members  (spk1_5)
do you have a specific location you would like to cruise to  (spk1_6)
okay you would like to visit the hawaiian islands during the summer months  (spk1_7)
most of the cruises to the hawaiian islands leave from a california port  (spk1_8)
what port would be the most convenient for your group to leave from  (spk1_9)
yes we can find you a cruise during the summer months for 12 people leaving out of san diego  (spk1_10)
how many nights would you like to cruise for  (spk1_11)
okay you would like to book a cruise for 10 days  (spk1_12)
we have a cruise that leaves july 10th for 10 days returning on july 20th – that cruise would leave out of the san diego port  (spk1_13)
does that time frame work for you  (spk1_14)
this cruise includes the island oahu also known as honolulu maui  kauai and the big island of hawaii  (spk1_15)
it includes off shore excursions to pearl harbor and waikiki beach when in oahu  (spk1_16)
also included in the off shore excursion package in maui is a van tour that will take along the coast on  the road to hana or a visit to the haleakala volcano  (spk1_17)
in addition when on the big island you can visit the volcano national park or go snorkeling at the captain cook monument in kona where they have some of the best snorkeling in hawaii  (spk1_18)
do any of these tours interest you  (spk1_19)
how many rooms will you be needing  (spk1_20)
do prefer inside staterooms or rooms with a balcony  (spk1_21)
yes there is availability on this cruise for 5 cabins that have balconies to accommodate your group  (spk1_22)
this cruise line is offering a few specials for that cruise date would you like to hear them  (spk1_23)
if you book this cruise by april 1st you will receive ship credit vouchers for 2 off shore excursions per room you could apply these vouchers toward some of the excursions i mentioned earlier  (spk1_24)
in addition for the adults this includes a guided tour of the ship’s kitchen the engine room and the art collection throughout the ship  (spk1_25)
for the children they will have unlimited access to the water slides mini golf course and the gocart track onboard this ship  (spk1_26)
does this sound like a cruise that would work for your family reunion  (spk1_27)
great! i will work up a price for you and call you back this afternoon at 7167352110  (spk1_28)
i will also quote you a price for the airfare for 8 people from denver to the port and for 4 people from phoenix to the san diego port the day prior to the cruise  (spk1_29)
do you have any questions about this cruise package  (spk1_30)
okay great! i will get back to you later today rebecca thank you for choosing global travel for your vacation planning  (spk1_31)
