hello jake's automotive this is denise how many help you today  (spk1_1)
hello anita have you had your car serviced with us in the past  (spk1_2)
great you are a new customer and our service station was recommended to you by kurt johnston  (spk1_3)
yes kurt johnston has been a good customer of ours for many years  (spk1_4)
so you have a 2010 honda crv and when you try to start the car it does nothing but click  (spk1_5)
and to replace the battery two months ago so that is a new battery  (spk1_6)
you start the car always starts after a few tries but it seems to be getting worse  (spk1_7)
while it may be the starter that needs to be replaced  (spk1_8)
so you have owned the car for 5 years and have never had to replace the starter  (spk1_9)
well i think you should make an appointment to bring it in and we will do a diagnostic test on the electronics to determine what the problem is  (spk1_10)
yes we do have one car we can loan out but it is is already reserved for the next two weeks  (spk1_11)
we also have a car shuttle service you can use if you need to be dropped off at work after you bring the car in  (spk1_12)
what address would you be going to  (spk1_13)
yes northview electric company on arcadia parkway is within our car service location  (spk1_14)
it is complimentary for the car service but most people offer a tip to the driver for the ride  (spk1_15)
my first available opening to look at your honda crv would be next thursday  (spk1_16)
it would take approximately four hours to look at the car and then run the diagnostics on it  (spk1_17)
we may be able to get the work done in one day but if we have to order parts i cannot guarantee that  (spk1_18)
the cost of a new starter for that make and model of your car is 189 and the labor is approximately 250 if there are no other issues with the car  (spk1_19)
yes we can check the brakes while we have it up on the left  (spk1_20)
the cost to install a set of front or rear brakes will be approximately 400 for each set of brakes  (spk1_21)
with winter coming it is a good idea to have the car checked all over especially with an older vehicle  (spk1_22)
we can schedule you for thursday october 21st arriving at 7 am  (spk1_23)
is this the number to reach you at 2017225648  (spk1_24)
ok anita we have you scheduled for our complimentary car service to and from work leaving our service center at 7:15 am and picking you up at approximately 4:15 pm from arcadia parkway  (spk1_25)
okay then we will see you next thursday at 7 am  (spk1_26)
if you need to adjust your appointment is give us 24 hours notice or you will be charged a 50 service fee  (spk1_27)
thank you for calling avis automotive  (spk1_28)
